CohortPeriod,2016-10,2016-11,2016-12,2017-01
1,1.0,1.0,1.0,1.0
2,0.3097463284379172,0.3936781609195402,0.16783216783216784,
3,0.37449933244325767,0.16379310344827586,,
4,0.16488651535380508,,,
